Tijdstempel,What programme are you in?,,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,stress_processed,money,Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Good day 1,Good day 2,,,
4/5/2022 12:19:33,Computational Science,MSc Computational Science,no,0,mu,ja,male,neither,23.05.1998,4,no,80,80,troll,29,2am,have enough sleep,make progress in anything,sleep,work,,,
4/5/2022 12:19:43,Artificial intelligence,MSc Artificial Intelligence VU,unknown,0,mu,ja,female,fat,20-09-1995,0,no,-,-,equally shared,9,"6 hours, plenty","happiness comes from within, but mental stimulation is always appreciated","be healthy, having a growth mindset, mental stimulation (dopamine), exercise (endorphins), hugs (oxytocin), sunlight (serotine)",mood,mood,,,
4/5/2022 12:20:41,Masters in Artificial intelligence ,MSc Artificial Intelligence VU,yes,1,mu,ja,male,neither,17/06/98,1,no,42,42,50,8,-,Quality time spent,Being more productive ,relax,work,,,
4/5/2022 12:20:49,Computational science ,MSc Computational Science,no,0,sigma,nee,male,slim,29/07/1998,1,unknown,10,10,100,6969,11:30,Sex,Sex,sex,sex,,,
4/5/2022 12:20:58,BISB,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,fat,04-01-1997,0,no,60,60,troll,56,00:00,Sunny weather,No obligations,weather,relax,,,
4/5/2022 12:21:03,Biomedical science,MSc Biomedical Sciences,no,0,sigma,nee,female,slim,not willing to tell,4,no,20,20,troll,375,11.2,Sunshi,Sunshine,weather,weather,,,
4/5/2022 12:21:16,CS,MSc Computer Science,yes,unknown,sigma,ja,male,fat,1996-08-22,1,no,60,60,missing,420,1am,Coffee in the morning,Hanging out with friends,coffee,friends,,,
4/5/2022 12:24:33,Masters in Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,23rd January,0,unknown,0,0,100,7,what?,no idea,still no idea,troll,troll,,,
4/5/2022 12:28:09,Bioinformatics,MSc Bioinformatics and Systems Biology,no,0,mu,nee,male,fat,11/03,0,no,62,62,100,"-34,67",1:30AM,Getting work done ,Doing sports (climbing),work,sport,,,
4/5/2022 12:33:59,Masters Bioinformatics ,MSc Bioinformatics and Systems Biology,yes,0,unknown,nee,male,neither,June,0,no,40,40,0,9,1:00,Highly productive ,Time with friends ,work,friends,,,
4/5/2022 12:34:30,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,female,neither,13,0,no,50,50,100,75,2.3,Sunshine,Nice food,weather,food,,,
4/5/2022 12:35:31,Ai,MSc Artificial Intelligence VU,yes,1,unknown,nee,not willing to answer,fat,1/1/1956,2,no,30,30,99,6,5,Yes,No,troll,troll,,,
4/5/2022 12:37:05,E,-,yes,1,mu,ja,male,slim,9,9,yes,9,9,5,0,9,9,9,troll,troll,,,
4/5/2022 12:41:59,MSc Computational Science,MSc Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,17/07/1995,0,no,troll,troll,1,123,555,Good food,Sleep more than 6 hours ,food,sleep,,,
4/5/2022 12:54:39,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,not willing to answer,neither,17,0,yes,70,70,87,7,0,nice weather,good mood,weather,mood,,,
4/5/2022 13:27:19,Business Analytics,MSc Business Analytics,yes,1,mu,ja,male,neither,12/05/1998,0,no,66,66,0,7.89458455584852E+020,04:00 AM,-,-,troll,troll,,,
,,,,,,,,,,,,,,,,,,,,,,,
TO DO:,Manual work: changing labels,,,,,,,,"Missing values, if year is missing, sample from a distributoion of years we got. If day/month missing, set it random",Getting troll asnwers,,"Get troll asnwers, chack range (0-100)",,"Get troll asnwers, chack range (0-100)","Get troll answers, figure out what to do with big numbers","Recoding, troll answers, missing values","Get top 3/5 topics, than discard forget about it",,"Get top 3/5 topics, than discard forget about it",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Gabriel,,,,,,,,,,,Round fractions,,Round fractions,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Andy,,Gabriel,,Gabriel,Gabriel,Michael,Andy,,Andy,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Michael,,,,,,,,,,,,,,
